ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,705,9815,A long time ago in Central America in Nicaragua in that country.,(Hace) mucho tiempo en Centroamérica en donde está Nicaragua en ese país,PASADO(2Msu) CENTROAMÉRICA DÓNDE SIGNO NICARAGUA DL:NICARAGUA INDX.DEM PAÍS,PASADO(2Msu) CENTROAMÉRICA B:CENTROAMÉRICA B:CENTROAMÉRICA NICARAGUA 0 0 0
2,10590,11657,There was a village.,(había) un pueblo.,INDX.DEM PUEBLO,0 0
3,11707,16594,This village was among lush mountains.,(Ese) pueblo estaba entre frondosas montañas.,MONTAÑA BOSQUE PUEBLO cl.e(Xa):localización-pueblo,MONTAÑA BOSQUE 0 cl.e(Xa):localización-pueblo
4,16594,17424,Among the people living there ,(Entre las) personas (que) allí vivían ,VIVIR PERSONA,VIVIR B
5,17441,20209,was the village chief,uno (era) el jefe,UNO cl.e(1):PERSONA RESPONSABLE  JEFE,0 0 RESPONSABLE 0
6,20226,22569,called Kuma,se llamaba Kuma,NOMBRE DL:KUMA,NOMBRE 0
7,22573,25004,I have assigned him this sign.,le he dado este signo.,SIGNO DAR(2M) SN:KUMA,0 DAR(2M) 0
8,25135,28011,Kuma was a strong and courageous person ,Kuma (era) una persona fuerte y valiente,INDX.PRO:3sg PERSONA FUERTE DEPORTE G,0 0 FUERTE DEPORTE G
9,28021,34082,He could face animals such as the tiger the puma and many more.,Podía enfrentarse a los animales: el tigre el puma y muchos más.,PODER CONTRA CONTRA ANIMAL2 G TIGRE cl.c(5d):garras-andar DL:PUMA ETC,0 CONTRA CONTRA ANIMAL2 G TIGRE cl.c(5d):garras-andar 0 0
10,34088,35383,He could face these animals,Podía enfrentarse a los animales,ANIMAL2 CONTRA CONTRA PODER,ANIMAL2 CONTRA CONTRA 0
11,35390,36580,because he was strong and brave.,(porque era) fuerte (y) valiente.,FUERTE DEPORTE,FUERTE DEPORTE
12,38049,39419,How/what happened?,Cómo/Qué pasó,CÓMO TRANSCURRIR,0 TRANSCURRIR
13,39419,42127,One night Kuma was at home sleeping ,(pues) una noche (Kuma estaba) en casa durmiendo ,NOCHE DORMIR CASA,NOCHE 0 CASA
14,42127,44226,He was asleep and,(estaba) dormido (y),G:dormido DORMIR G:dormir,G:dormido 0 0
15,44226,45327,He felt a roar,(sintió) un estruendo,SONIDO(2M),SONIDO(2M)
16,45327,46605,He woke up.,(que le) despertó.,DESPERTAR,DESPERTAR
17,46605,47256,went out,Salió,cl.e(2d):PERSONA-salir-tienda,cl.e(Bd):TIENDA
18,47256,50205,looked down on (the place),oteó (el lugar y),MIRAR,0
19,50205,54020,and found a girl,encontró una niña,MIRAR INDX.PRO:3sg MUJER PEQUEÑO2,0 0 0 0
20,54020,55751,who was crying and,(que) tenía los ojos llorosos (y),cl.c(5d):OJOS-llorosos,cl.c(5d):OJOS-llorosos
21,55751,58165,naked.,(estaba) desnuda.,G:conmovido DESNUDO G:conmovido,G:conmovido DESNUDO G:conmovido
22,58165,59994,Kuma looked at her and,Kuma la miró y,SN:KUMA MIRAR,0 0
23,59994,63451,he felt sorry for the girl.,se le encogió el corazón.,CORAZÓN.FORMA cl.d(5d&amp;gt;A):encogerse-corazón,CORAZÓN.FORMA cl.d(5d&amp;gt;A):encogerse-corazón
24,63451,65405,and decided to pick her up.,Decidió recogerla.,G:pensar cl.m(5d&amp;gt;A):coger-persona,0 cl.m(5d&amp;gt;A):coger-persona
25,65405,69280,"""I will take care of you and my seven children","""La cuidaré [a ella] y a mis siete hijos",QUERER CUIDAR MÁS.SUMA INDX PROPIO(2M) SIETE NACER,0 CUIDAR 0 0 PROPIO(2M) SIETE NACER
26,69280,71775,I will take care of the seven and this girl.,cuidaré a los siete y a esta niña.,SIETE MÁS.SUMA INDX MUJER INDX CUIDAR,SIETE 0 0 0 0 CUIDAR
27,71820,74683,"You will be called Arua.""","Te llamarás Arúa.""",INDX NOMBRE DL:ARUA,0 NOMBRE 0
28,74683,78006,"meaning ""star of the night""","(Que) significa ""estrella de la noche""",SIGNIFICAR TÍTULO ESTRELLA NOCHE,SIGNIFICAR TÍTULO ESTRELLA NOCHE
29,78006,79243,in short.,sintetizado.,CORTO,CORTO
30,79263,80811,He assigned Arua,Le puso Arúa,DL:ARUA DAR(2M),0 DAR(2M)
31,80811,82752,"(her) sign ""Star"".","(su) signo ""Estrella"".",SIGNO SN:ARÚA INDX.PRO,0 0 0
32,82752,84434,Kuma took Arua home and looked after her.,Kuma se llevó a Arúa y la cuidó.,G:Kuma cl.m(C):colocar-persona,G:Kuma cl.m(C):colocar-persona
33,84434,85695,Kuma took Arua home and looked after her.,Kuma se llevó a Arúa y la cuidó.,CUIDAR,CUIDAR
34,85857,88493,Years passed,Pasó el tiempo,TRANSCURRIR,TRANSCURRIR
35,88515,92245,Arua and Kuma’s boys grew up together.,Arúa y los hijos [de Kuma] crecieron.,CRECER(2M) PEQUEÑO2(2M) CRECER(2M),CRECER(2M) PEQUEÑO2(2M) CRECER(2M)
