ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,422,4333,Once upon a time (there was) a boy in bed.,Una vez (estaba) un niño en su cama.,PASADO HOMBRE PEQUEÑO2 DÓNDE CAMA SU,0 0 0 0 CAMA SU
2,4402,7698,What (was he doing)? Looking at a jar.,¿Cómo (estaba)? Contemplando un frasco.,CÓMO MIRAR(MP) cl.d(5d):frasco,0 MIRAR(MP) cl.d(5d):frasco
3,7713,9514,Next to him (was) his dog.,Al lado (estaba) su perro.,TAMBIÉN AL-LADO PERRO,0 0 0
4,9551,11701,This boy was in bed,Este niño estaba en la cama,INDX HOMBRE QUEDAR CAMA,0 0 QUEDAR CAMA
5,11720,12298,covered with a blanket,se tapó con la manta,MANTA,MANTA
6,12304,13302,and fell asleep.,y se durmió.,DORMIR,B:MANTA
7,13312,16104,in front of him (was) a jar with a frog (inside).,Enfrente (había) un frasco con una rana.,cl.e(1):LOCALIZACIÓN cl.d(5d):frasco RANA(M-DE),B:MANTA cl.d(5d):frasco RANA(M-DE)
8,16449,23913,Then in the morning the boy sat at the foot of the bed looked at the jar...,Después por la mañana el niño se volvió a los pies de la cama miró el frasco...,DESPUÉS DÍA CAMA HOMBRE MIRAR- cl.e(2b):PERSONA-acostada-cama MIRAR cl.d(5d):frasco-forma,0 DÍA CAMA B:CAMA 0 cl.e(Bh):CAMA B:cl.e(Bh):CAMA cl.d(5d):frasco-forma
9,23929,27644,"""incredible the frog had disappeared"" (thought the boy).","""Increíble ha desaparecido la rana no está"" (pensó el niño).",MENTE^APAGAR DESAPARECER HABER-NO RANA(M-DE),MENTE^APAGAR DESAPARECER B:DESAPARECER RANA(M-DE)
10,30846,35511,The boy and the dog searched all over,El niño y el perro buscaron (y buscaron).,HOMBRE PEQUEÑO2 PERRO BUSCAR(2Msu),0 0 0 BUSCAR(2Msu)
11,35519,38750,The frog had disappeared from the jar.,La rana había desaparecido del frasco en el que estaba.,"cl.d(5d):frasco
 PASADO LO-DE-ANTES DENTRO RANA(M-DE) DESAPARECER","cl.d(5d):frasco
 B:cl.d(5d):frasco B:cl.d(5d):frasco B:cl.d(5d):frasco RANA(M-DE) DESAPARECER"
12,38760,40645,They looked for it everywhere,Buscaron.,BUSCAR(2Msu),BUSCAR(2Msu)
13,40657,42385,They looked through the window,Miraron por la ventana,VENTANA MIRAR,VENTANA B:VENTANA
14,42400,46633,The dog sniffed at the jar,el perro con el hocico metido en el frasco.,"PERRO CÓMO cl.d(5d):frasco
 cl.e(C):FRASCO-en-cabeza","B:VENTANA B:VENTANA cl.d(5d):frasco
 cl.e(C):FRASCO-en-cabeza"
15,49290,51009,The boy did not trust (the dog): ,El niño desconfió (del perro): ,HOMBRE PEQUEÑO2 DESCONFIAR,0 0 0
16,51017,53389,"""It (must have been) you you dog you.","""(Has sido) tú perro tú.",INDX.PRO:2sg PERRO INDX.PRO:2sg,0 0 0
17,53401,55681," You took the jar."""," tú has cogido del frasco.""",G:abrazar-frasco INDX.PRO:2sg COGER,G:abrazar-frasco B:G:abrazar-frasco B:G:abrazar-frasco
18,56637,59611,At last! The boy and the dog began to walk,¡En fin! El niño y el perro echaron a andar...,G:qué-se-le-va-a-hacer HOMBRE PEQUEÑO2 PERRO CAMINAR(MP),G:qué-se-le-va-a-hacer 0 0 0 CAMINAR(MP)
19,59622,61763,Wait wait.,Espera espera... ,B:CAMINAR(MP),ESPERAR2
20,61770,64455,They walked through the forest ,Caminaron por el bosque ,CAMINAR(MP) MIRAR- cl.e(5):ÁRBOL-aproximarse,CAMINAR(MP) 0 cl.e(5):ÁRBOL-aproximarse
21,64470,65681,Looking for (the frog).,buscando (la rana).,BUSCAR(2Msu),BUSCAR(2Msu)
22,65742,67775,"(The boy called out) ""Frog!""","(El niño voceaba:) ""¡Rana!""",VOCEAR(2M) RANA(M-DE) NOMBRE,VOCEAR(2M) RANA(M-DE) NOMBRE
23,67782,69121,and loudly,gritaba,GRITAR(2M),GRITAR(2M)
24,69130,70328,"""Come come!""","""¡ven ven!""",VENIR2 VENIR2,0 0
25,71095,72231,What can we do!,¡Qué se le va a hacer!,G:qué-se-le-va-a-hacer,G:qué-se-le-va-a-hacer
26,72481,76254,the boy continued searching (he looked) inside a burrow.,Después el niño siguió buscando( miró) en una madriguera.,DESPUÉS HOMBRE PEQUEÑO2 CONTINUAR BUSCAR(2Msu) cl.d(1):madriguera-forma,0 0 0 CONTINUAR BUSCAR(2Msu) cl.e(C):MADRIGUERA-localización
27,76283,77665,But with no luck.,Buscaba sin resultado.,BUSCAR(2Msu) CONSEGUIR-NO,BUSCAR(2Msu) CONSEGUIR-NO
28,77694,83486,The dog saw a hive in a tree.,El perro vio una colmena en un árbol.,PERRO MIRAR(MP) ÁRBOL QUÉ cl.d(5d):forma-colmena ES.ASÍ ABEJA COLMENA2,0 MIRAR(MP) ÁRBOL B:ÁRBOL cl.d(5d):forma-colmena ES.ASÍ 0 0
