ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,842,3720,[In the story there is] a child whose sign is this [hair-child],[En la historia hay] Un niño su signo es este [pelo-niño],HOMBRE PEQUEÑO2 SIGNO SN:NIÑO,0 0 0 0
2,3752,6872,A dog whose sign is this [dog-ear],un perro su signo es este [oreja-de-perro],OTRO PERRO SIGNO SN:PERRO,0 0 0 0
3,6911,9857,And a frog whose sign is this [sack-vowel-of-frog].,y una rana su signo es este [saco-vocal-de-rana].,OTRO ANIMAL RANA SIGNO SN:RANA,0 ANIMAL RANA 0 0
4,10005,12087,The child (was in) his room,El niño (estaba en) su habitación,HABITACIÓN SU SN:NIÑO,HABITACIÓN SU 0
5,12087,14650,(and it) was night,(y) era denoche,FECHA SITUACIÓN NOCHE,FECHA SITUACIÓN NOCHE
6,14710,15881,(They were) in bed both of them,(Estaban) en cama los dos,CAMA LOS-DOS,CAMA B:CAMA
7,15881,18059, with a glass jar (in which was) a frog [its sign], con un frasco de cristal (en el que estaba) la rana [su signo],CRISTAL cl.d(C):frasco INDX SN:RANA,0 cl.d(C):frasco cl.e(C):FRASCO B:cl.e(C):FRASCO
8,18587,21658,The two (were) looking (at the jar),Los dos (estaban) mirando (el frasco),SN:NIÑO cl.e(1):PERSONA PERRO MIRAR(2M) MIRAR,B:cl.e(C):FRASCO B:cl.e(C):FRASCO B:cl.e(C):FRASCO MIRAR(2M) cl.e(C):FRASCO
9,21684,24202,and the frog looked at (them),y la rana los miraba (a ellos),SN:RANA MIRAR SN:RANA,B:cl.e(C):FRASCO 0 0
10,24229,27052,They got into bed and fell asleep. ,Se metieron en cama y se durmieron. ,MISMO HORA.RELOJ ACOSTARSE DORMIR(MP),0 HORA.RELOJ ACOSTARSE DORMIR(MP)
11,27112,29339,The frog pulled itself out the mouth of the jar,La rana se asomó por la boca del frasco,INDX SN:RANA cl.e(2d):RANA-salir-frasco,0 0 cl.e(C):FRASCO
12,29349,30281,stretched its legs to get out,estiró sus patas para salir de él,cl.c(X):PATAS-andar,cl.c(X):PATAS-andar
13,30288,31662,and left.,y se fue.,ALEJARSE,0
14,31678,34034,The child and the dog slept until sunrise,El niño y el perro durmieron hasta que salió el sol,INDX DORMIR(MP) HASTA DÍA,0 DORMIR(MP) HASTA DÍA
15,34081,35446,They woke up with the frog in mind,Despertaron con la rana en mente,DESPERTAR MENTE^OBJETIVO SN:RANA,DESPERTAR MENTE^OBJETIVO B:MENTE^OBJETIVO
16,35452,36196,(but) when they got up,(pero) al levantarse,G:niño-se-levanta,G:niño-se-levanta
