ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,232,1697,It begins at first (with),Primero empieza (con),EMPEZAR- UNO EMPEZAR,EMPEZAR- 0 EMPEZAR
2,1697,4753,a man (and) a ladder on a tree,(un) hombre (y) una escalera en un árbol,HOMBRE cl.e(2d):ESCALERA-en-árbol ÁRBOL,0 cl.e(5):ÁRBOL ÁRBOL
3,4804,6165,(The ladder) is resting on the tree,(la escalera está) apoyada en el árbol,cl.e(2d):ESCALERA-en-árbol cl.e(2):ESCALERA-en-árbol,cl.e(5):ÁRBOL cl.e(5):ÁRBOL
4,6165,6824,The man had climbed the ladder,el hombre había subido la escalera,cl.e(2b):PERSONA-ascender+a-árbol,B:cl.e(5):ÁRBOL
5,6824,7423,(and) he is at the top of the ladder.,(y) está en la cima de la escalera.,cl.e(2b):PERSONA-sobre-árbol,B:cl.e(5):ÁRBOL
6,7423,9303,picking pears,Ahí coge peras,INDX PERA3(L-MEJ) cl.m(5d&amp;gt;A):coger-peras,B:cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL
7,9324,10426, and depositing them in his apron., y las guarda en el mandil.,cl.m(5d):guardar-peras cl.m(5d):coger+guardar-peras,B:cl.e(5):ÁRBOL cl.m(5d):coger+guardar-peras
8,10522,11603,He climbs down the tree,Baja del árbol,cl.e(2b):PERSONA-descender,0
9,11603,12397,and empties the pears,y echa las peras,cl.m(Cc&amp;gt;5d):arrojar-peras,cl.m(Cc&amp;gt;5d):arrojar-peras
10,12397,14064,empties the pears from the apron.,echa las peras del mandil.,cl.m(Cc&amp;gt;5d):arrojar-peras cl.m(Cc&amp;gt;5d):arrojar-peras,cl.m(Cc&amp;gt;5d):arrojar-peras cl.m(Cc&amp;gt;5d):arrojar-peras
11,14067,15650,Climbs up the tree again.,Sube otra vez al árbol.,cl.e(2d):PERSONA-ascender+por-árbol,cl.e(B):ÁRBOL
12,15842,19396,A man comes along later with a goat,Más tarde vienen (un) hombre junto con (una) cabra,TARDE2 VENIR(B) HOMBRE CON CABRA2,TARDE2 0 0 CON 0
13,19441,20279,They approach (the tree),se acercan,cl.e:PERSONA+CABRA-aproximarse,0
14,20309,23485,and come [near and then walk away] the man and the goat,pasan [se acercan y se alejan] el hombre y la cabra,cl.m(Cc):agarrar-correa,0
15,23496,25474,into the distance.,(hasta) desaparecer.,G:acabar-desaparecer,G:acabar-desaparecer
16,25850,30653,A child on a bicycle comes next,Más tarde se acerca (un) niño con (una) bicicleta,TARDE2 HOMBRE CON BICICLETA cl.e(B):BICICLETA-aproximarse,TARDE2 0 CON BICICLETA 0
17,30657,33251,The boy looks at the baskets and then at the man in the tree,El niño ve aquello [las cestas] ve (al hombre en el árbol),B:cl.e(B):BICICLETA-aproximarse HOMBRE INDX B:INDX,0 0 0 0
18,33251,35173,The man was unaware (of whatever was happening),el hombre ignoraba (lo que estaba pasando),HOMBRE MENTE^NORMAL,0 MENTE^NORMAL
19,35173,36283,(and the boy decided),(y el niño se decició),INDX,0
20,36283,40399,to put... put the basket of pears on,puso... puso el cesto de peras (encima),cl.m:coger-cesta MANZANA- PERA3(L-MEJ) CESTO cl.m(A):colocar-cesto,cl.m:coger-cesta 0 0 CESTO cl.m(A):colocar-cesto
21,40399,41692,err..,eh...,hhh,hhh
22,41692,44587,puts the basket on the bicycle,pone la cesta sobre la bicicleta,BICICLETA hhh cl.e(5):ZONA-sobre-bicicleta cl.e(5d):CESTA-sobre-bicicleta,BICICLETA hhh cl.e(5):BICICLETA B:cl.e(5):BICICLETA
23,44661,45532,(The boy cycles away on) the bike,(El niño se va en la) bicicleta,BICICLETA,BICICLETA
24,45609,47700,A girl appears,Aparece una niña,MUJER cl.e(1):PERSONA,0 0
25,47700,48858,on her bike.,(que) se acerca en bicicleta.,BICICLETA cl.e(1):BICICLETA-acercarse-bicicleta,BICICLETA cl.e(1):BICICLETA-acercarse-bicicleta
26,49084,50300,The boy is stunned (and gazes at her),El niño se (queda) pasmado (mirándola),HOMBRE ADMIRAR,0 0
27,50300,51617,(and) his hat falls to the floor,(y) se le cae el sombrero,SOMBRERO(Xc)(1M) cl.m(Xc):sombrero-caer,0 0
