ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,517,1011,A man...,Un hom...,0,HOMBRE-
2,1227,6973,is on a ladder in the tree,En un árbol hay un hombre subido a una escalera,ÁRBOL(1M) cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL,0 HOMBRE cl.d(Ls):escalera-forma cl.d(Ls):peldaños-forma cl.e(2d):PERSONA-ascender+a-árbol
3,7347,10017,collecting pears.,Está cogiendo peras,0 cl.m(5d&amp;gt;A):coger-fruta,PERA3 cl.m(5d&amp;gt;A):coger-fruta
4,10147,11357,He picks them and puts them in his apron pocket,las cogía y guardaba en su regazo,cl.m(5d&amp;gt;Q):coger+guardar-fruta,cl.m(5d&amp;gt;Q):coger+guardar-fruta
5,11437,12087,he places them,las colocaba,cl.m(5d):guardar-fruta,cl.m(5d):guardar-fruta
6,12157,12517,and stores them,las guardaba,cl.m(Q):guardar-fruta,cl.m(Q):guardar-fruta
7,12597,13024,In until his apron pocket is full.,llenando el regazo.,cl.d(5):peras-en-regazo,cl.d(5):peras-en-regazo
8,13105,14976,He picks up a pear and stores it,Cogía una pera y la guardaba,B:cl.d(5):peras-en-regazo,cl.m(5d&amp;gt;Q):coger+guardar-fruta
9,15016,17323,He picks up another pear and stores it,cogía otra pera y la guardaba...,cl.m(5d&amp;gt;Q):coger+guardar-fruta,B:cl.m(5d&amp;gt;Q):coger+guardar-fruta
10,17452,20077,(Suddenly) a pear fell,(De repente) una pera se cayó.,B:cl.m(5d&amp;gt;Q):coger+guardar-fruta,cl.e(Q):FRUTA-caer
11,20547,22989,from the tree fell to the ground and bounced.,Cayó del árbol al suelo dando botes.,cl.e(5):ÁRBOL,cl.e(Q):FRUTA-caer+de-árbol
12,23930,29640,The man climbed down the tree one step at a time,El hombre bajó del árbol peldaño a peldaño hasta el suelo,cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL,cl.d(Xa):escalera-forma cl.e(2d):PERSONA-descender+de-árbol
13,30106,32606,and walked to where the basket was,Fue caminando hasta donde había una cesta,0 cl.d(5):cesta,CAMINAR cl.d(5):cesta
14,32878,34321,and emptied the pears he carried in his apron pocket into the basket.,y en ella vació las peras que llevaba en su regazo.,cl.m(Xc):vaciar-regazo,cl.m(Xc):vaciar-regazo
15,34368,35239,The pears ended inside the basket.,Las peras fueron a parar a la cesta.,cl.e(A&amp;gt;5h):FRUTA-caer,cl.e(A&amp;gt;5h):FRUTA-caer
16,35327,36430, He laid them in the basket one by one,Una a una las fue echando en ella,cl.e(A):FRUTAS-caer,cl.e(A):FRUTAS-caer
17,36481,37007,emptying his apron.,vaciando su delantal.,cl.m(L):vaciar-regazo,cl.m(L):vaciar-regazo
