ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,610,1288,Can I start?,¿Empiezo?,EMPEZAR,EMPEZAR
2,2899,4604,(In an) orchard,(En una) arboleda,cl.e(5):ÁRBOL-fila-suelo,cl.e(Bh):SUELO
3,5316,6116,(there is) a man,(hay un) hombre,HOMBRE PERSONA,0 0
4,6116,7147,wearing a hat,con un sombrero,cl.d(Xa):sombrero,cl.d(Xa):sombrero
5,7147,8025,and a scarf on his neck,una pañoleta en el cuello,PAÑOLETA,PAÑOLETA
6,8025,9044,and an apron,y un delantal,cl.d(Xa):tira-delantal,cl.d(Xa):tira-delantal
7,9044,10407,with a pocket,con un bolsillo,hhh cl.d(L&amp;gt;B):bolsillo-delantal,hhh cl.d(L&amp;gt;B):bolsillo-delantal
8,10407,11712,(to) keep things in,(para) guardar cosas,COSA ARROJAR(2Msu),COSA ARROJAR(2Msu)
9,11712,12650,[The apron] is tied at the back.,atado [el delantal] a la espalda.,cl.m(Xc):atar-delantal,cl.m(Xc):atar-delantal
10,13465,15407,(There is) a ladder up the tree.,(Hay) una escalera hasta un árbol.,cl.e(2d):ESCALERA-sobre-suelo cl.e(5):ÁRBOL-sobre-suelo,cl.e(Bh):SUELO cl.e(Bh):SUELO
11,15837,18933,The man (is) working picking pears,El hombre (está) trabajando en las peras.,HOMBRE PERSONA TRABAJAR PERA4(Q),0 0 TRABAJAR 0
12,19831,20978,How (does) he (work)?,(Esta) persona cómo (hace),PERSONA CÓMO,0 cl.c(X):PIERNA
13,20978,23112,(Well) he climbs up the ladder,sube la escalera,cl.c(X):PIERNAs-ascender+por,cl.c(X):PIERNAs-ascender+por
14,23112,23632,and plucks a pear,coge una pera,cl.m(5d):coger-fruta,cl.e(C):SACO
15,23632,24326,puts it in ...,la mete en un...,cl.m(5d):agarrar-fruta,B:cl.e(C):SACO
16,24326,25040,puts it in his apron pocket,la mete en el bolsillo del delantal,cl.m(5d):guardar-fruta,B:cl.e(C):SACO
17,25040,25614,plucks another pear,arranca otra pera,cl.m(5d):arrancar-fruta,B:cl.e(C):SACO
18,25614,26490,puts it in the apron...,la mete en el delantal...,cl.m(5d):guardar-fruta,B:cl.e(C):SACO
19,26490,29838,(way up in the) tree (top)... (there are many) pears,(En la copa del) árbol... (hay muchas) peras,ÁRBOL cl.e(5):ÁRBOL PIEDRA- PERA4 PERA4(Q) cl.e(5d):PERAS-en-árbol,ÁRBOL hhh PIEDRA- 0 0 cl.e(C):ÁRBOL-tronco
20,29838,30607,(The man) is plucking pears,(el hombre está) cogiendo peras,B:cl.e(5d):PERAS-en-árbol cl.m(5d):guardar-fruta,cl.m(5d):coger-fruta B:cl.m(5d):coger-fruta
21,30607,32095,(and suddenly) a pear falls to the ground.,(y de repente) una pera cae al suelo.,cl.e(1):TRAIECTORIA-caer,0
22,32095,33790,(The man is annoyed but continues) plucking the pears.,(El hombre se muestra molesto y sigue) cogiendo peras.,G cl.m(5d):coger+guardar-fruta,0 cl.e(5d):delantal
23,33790,36930,(The man) sees a goat with a bell,(El hombre) ve una cabra con cencerro,MIRAR INDX cl.e(Qa):CAMPANA cl.d(L):cuernos-forma,0 0 0 cl.d(L):cuernos-forma
24,36930,37715,approaching,(que) se acerca,cl.c(A):pezuñas-caminar,cl.c(A):pezuñas-caminar
25,37715,38195,in the distance.,a cierta distancia.,B:cl.c(A):pezuñas-caminar,cl.e(1):localización-cabra
26,38289,40599,(The man continues) plucking pears,(El hombre sigue) recogiendo peras.,cl.m(5d):coger+echar-fruta-en+saco,cl.e(5h):SACO
27,40718,43929,He climbs down the tree,Baja del árbol,cl.e(2d):PERSONA-descender+de-localización,cl.e(Bh):LOCALIZACIÓN
28,43929,45680,takes a pear,coge una pera,G:hombre cl.m(Q):coger-fruta,G:hombre 0
29,45680,47249,unties his scarf,se saca la pañoleta del cuello,cl.m(5d):agarrar-fruta,cl.m(Xc):desatar-pañoleta
30,47249,49338,cleans the pear with it,limpia con ella la pera,B:cl.m(5d):agarrar-fruta,cl.m(E):limpiar-fruta
31,49338,51212,and leaves the fruit in a basket.,y deja la fruta en una cesta.,cl.d(5d):cesta ARROJAR,cl.d(5):cesta B:cl.d(5):cesta
32,51258,52438,He ties the scarf on his neck again.,Vuelve a ponerse la pañoleta.,cl.m(Xc):atar-pañoleta,cl.m(Xc):atar-pañoleta
33,52549,53335,empties the contents of the apron pocket in the basket,Vuelca el bolsillo del delantal en la cesta,cl.m(5&amp;gt;A):coger-bolsillo cl.m(A):vaciar-bolsillo,cl.m(5&amp;gt;A):coger-bolsillo cl.m(A):vaciar-bolsillo
34,53335,54039,The fruit falls,la fruta cae,cl.d(5):peras-caer+colectivo,cl.d(5):peras-caer+colectivo
35,54039,55034,pears.,caen las peras.,cl.e(5d):peras-caer+individual,cl.e(5d):peras-caer+individual
36,55234,59405,(There are) three baskets.,(Hay) tres cestas... hay.,cl.d(5):cesta cl.d(5):cesta cl.d(5):cesta TRES HABER,cl.d(5):cesta cl.d(5):cesta cl.d(5):cesta 0 0
37,60514,64109,(The man) climbs up the ladder again,(El hombre) sube otra vez la escalera,OTRA-VEZ(1M) cl.c(X):PIERNAs-ascender+por,0 cl.c(X):PIERNAs-ascender+por
38,64109,65840,(and continues) picking pears from the tree,(y sigue) cogiendo peras del árbol,ÁRBOL cl.m(5d&amp;gt;5):coger+guardar-fruta,ÁRBOL cl.m(5):agarrar-saco
39,65840,69253,(and) puts them in his apron pocket.,(que) guarda en el bolsillo de su delantal.,cl.d(C):bolsillo-delantal cl.m(5d&amp;gt;5):coger+guardar-fruta,cl.d(C):bolsillo-delantal cl.d(C):bolsillo-delantal
40,69875,73417,(There appears) a little blond boy wearing a hat and a scarf,(Aparece) un niño rubio con sombrero y pañoleta,HOMBRE PEQUEÑO2 RUBIO cl.d(Xa):sombrero PAÑOLETA,0 0 0 cl.d(Xa):sombrero PAÑOLETA
