ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,1214,2918,Hello!,¡Hola!,HOLA,0
2,2992,6796,I am going to narrate (a story) about pears,Voy a hablar de (la historia) de las peras,TEMA PERA4(Xc) DL:PERA,TEMA 0 0
3,6869,8458,I am going to narrate it.,voy a contarla.,AHORA EXPLICAR,0 EXPLICAR
4,8503,12648,The scene of this story is a grove with pears,El escenario de la historia es un bosque con peras ,SITUACIÓN INDX BOSQUE(M-AD) MÁS.SUMA PERA4(Xc),SITUACIÓN 0 BOSQUE(M-AD) 0 0
5,12703,15283,A man with a hat,Un hombre con sombrero,HOMBRE PERSONA SOMBRERO(Xc) B:SOMBRERO(Xc),0 0 SOMBRERO(Xc) B:SOMBRERO(Xc)
6,15538,16870,(was) picking [pears],cogiendo [peras],COGER(2Msu),COGER(2Msu)
7,16870,18235,up in the tree.,arriba en un árbol.,INDX PERA4(Xc)- ÁRBOL,0 0 ÁRBOL
8,18235,19063,He climbs up the ladder,Sube por la escalera,cl.e(2d):PERSONA-ascender-árbol,cl.e(5):ÁRBOL
9,19063,19548,Climbs down,baja,cl.e(2d):PERSONA-descender-árbol,B:cl.e(5):ÁRBOL
10,19548,19913,Climbs up...,sube...,cl.e(2d):PERSONA-ascender-árbol,B:cl.e(5):ÁRBOL
11,19961,21571,(There are) three baskets.,(Hay) tres cestas.,CESTO cl.m(Xc):posar-cesta cl.m(Xc):posar-cesta cl.m(Xc):posar-cesta,CESTO cl.m(Xc):posar-cesta cl.m(Xc):posar-cesta cl.m(Xc):posar-cesta
12,21571,22764,He continues working,Sigue trabajando,TRABAJAR CONTINUAR,TRABAJAR CONTINUAR
13,22764,24331,Until he,hasta (que con las) peras (que) coge (del árbol),HASTA COGER(2Msu),HASTA COGER(2Msu)
14,24331,25576,fills three (baskets) with the pears he picked from the tree.,llena las tres (cestas).,LLENAR(MP) LLENAR(MP) LLENAR(MP),LLENAR(MP) LLENAR(MP) LLENAR(MP)
15,25878,26372,And just then...,Casualmente...,CASUAL,0
16,27913,30245,a man passes by,Viene un hombre,HOMBRE VENIR,0 0
17,30273,30996,(The first man) sees the second one,(El primer hombre) lo ve,MIRAR,0
18,30996,33629,(He was walking) with a goat,(va) con (una) cabra,CON CABRA,CON CABRA
19,33657,34742,He walked past with the goat on a leash,pasa con la cabra por una correa,cl.m(Xc):agarrar-correa,0
20,34744,35543,Strolling along,paseando,PASEAR,PASEAR
21,35543,37112,And then... [The first man] is still up,Entonces... [El hombre] sigue arriba,ENTONCES(1M) xxx INDX CONTINUAR,ENTONCES 0 0 CONTINUAR
22,37112,37940,The man (is) up in the tree,el hombre (está) en lo alto del árbol,HOMBRE cl.e(2d):PERSONA-ascender-árbol,0 cl.e(5):ÁRBOL
23,37940,38355,harvesting,sigue,CONTINUAR,CONTINUAR
24,38355,39388,[the pears].,cogiendo [peras].,COGER(2Msu),COGER(2Msu)
25,39510,41400,The man walking the goat,El hombre que pasea con la cabra,HOMBRE PASEAR CON CABRA,0 PASEAR CON 0
26,41400,42781,passed by with the leash in hand,pasa con la correa en mano,cl.m(Xc):agarrar-corea,0
27,42781,43808,into the distance,hasta alejarse,HASTA cl.e(1):TRAIECTORIA-desplazarse,HASTA 0
