ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,630,3680,I was born a long time ago in a village,Yo nací hace tiempo en un pueblo en un pueblo propiamente,PASADO(2Msu) PUEBLO INDX.PRO:1sg NACER ES.ASÍ PUEBLO,PASADO(2Msu) 0 0 NACER ES.ASÍ 0
2,4515,6877,(When I was) a child communication was...,(Cuando era) niña comunicarme...,INDX.PRO:1sg CRECER COMUNICAR G:no,0 0 COMUNICAR 0
3,6877,8780,(I didn't) understand (my) parents at all,A (mis) padres (no) los entendía en absoluto,PADRE^MADRE G ENTENDER NADA2,0 G B:G 0
4,8780,10565,Neither did I understand (my) grandfather/grandmother.,a (mi) abuelo/a tampoco.,ABUELO TAMPOCO(2M),0 TAMPOCO(2M)
5,10565,12786,(The one) I understood best was a child friend of (mine),(A quién) más a una niña compañera (mía),MÁS.CANTIDAD COMPAÑERO PEQUEÑO2 MUJER,0 COMPAÑERO 0 0
6,12786,14319,Both of us could communicate with each other,las dos nos podíamos comunicar,LOS-DOS PODER COMUNICAR,0 0 COMUNICAR
7,14319,15903,In our own way/using our code we could [communicate].,a su manera/en su código las dos podíamos [comunicarnos].,SU LOS-DOS PODER(2M),SU B:SU PODER(2M)
8,15920,16582,And as time passed ,Pasó el tiempo,TRANSCURRIR,TRANSCURRIR
9,16582,17775,(Everything) went on well I enjoyed [that time] (really) well,(todo) bien disfruté [esa época] (muy) bien,BIEN DISFRUTAR BIEN,0 DISFRUTAR 0
10,17775,19790,(But) not with (my) parents...,(pero) con (mis) padres no...,PADRE^MADRE G:no,0 G:no
11,19856,20609,Later on,Más tarde,TRANSCURRIR,TRANSCURRIR
12,20647,22493,I was taken to Lugo to the school,me llevaron a Lugo al colegio ,COGER INDX LUGO COLEGIO,0 0 0 0
13,22581,23647,(And) I was registered there.,(y) empecé.,EMPEZAR,EMPEZAR
14,23681,25388,I understood (what was) being said.,(Lo que) se hablaba yo lo entendía.,SIGNAR INDX.PRO(B):1sg ENTENDER,SIGNAR 0 0
15,25388,26394,I understood things,entendía las cosas,COSA ENTENDER,COSA 0
16,26394,27129,I received lessons on culture ,me enseñaban cultura,CULTURA EDUCAR,0 EDUCAR
17,27129,27848,I understood things,entendía las cosas.,COSA ENTENDER(2M),COSA ENTENDER(2M)
18,27850,32225,After class I communicated easily with the children outside [on the playground].,Después fuera [en el patio] me comunicaba cómodamente con los niños.,DESPUÉS FUERA PEQUEÑO2(2M) COMUNICAR ENCANTADO,0 0 PEQUEÑO2(2M) COMUNICAR 0
19,32253,34464,I used to enjoy communicating a lot.,Disfrutaba muchísimo de la comunicación.,COMUNICAR INDX.PRO(B):1sg DISFRUTAR G:muchísimo,COMUNICAR 0 DISFRUTAR B:DISFRUTAR
20,34803,36885,I used to enjoy communicating a lot.,Disfrutaba muchísimo de la comunicación,COMUNICAR INDX.PRO(B):1sg DISFRUTAR G:muchísimo,COMUNICAR 0 DISFRUTAR B:DISFRUTAR
21,37040,38674,After that I returned to the village,Después volvía al pueblo,DESPUÉS(B) VOLVER IR2,0 VOLVER 0
22,38674,40179,During the holidays ,iba en vacaciones,VACACIONES IR2,VACACIONES 0
23,40179,41390,(But I was) a little sad,(pero estaba) un poco triste,POCO TRISTE,0 TRISTE
24,41413,42014,A little bit...,un poco...,POCO,0
25,42014,43638,There was no communication (with my) parents,no había comunicación (con mis) padres,COMUNICAR PADRE^MADRE HABER-NO(2M) G,COMUNICAR 0 HABER-NO(2M) G
26,43638,44357,It was different,era diferente,DIFERENTE,DIFERENTE
27,44357,45281,I had the same girl friend,Tenía la misma amiga,INDX.PRO(B):1sg AMIGO MISMO,0 AMIGO 0
28,45281,45711,when I returned,al volver,VOLVER,VOLVER
29,45711,47682,(The one) I used to communicate with the same one,(con la que) me comunicaba esa misma,INDX COMUNICAR MISMO INDX,0 COMUNICAR B:COMUNICAR B:COMUNICAR
